"id","name","code","executive","employee","worker"
occupation_type_employee_127019,"DIRECTOR GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",127019,True,True,False,
occupation_type_employee_127020,"DIRECTOR GENERAL, ORGANIZACION/TRABAJO SOCIAL",127020,True,True,False,
occupation_type_employee_127021,"GERENTE GENERAL, EMPRESA/ACTIVIDADES CULTURALES",127021,True,True,False,
occupation_type_employee_127022,"GERENTE GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",127022,True,True,False,
occupation_type_employee_127023,"GERENTE GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",127023,True,True,False,
occupation_type_employee_127024,"GERENTE GENERAL, EMPRESA/AGENCIA DE VIAJES",127024,True,True,False,
occupation_type_employee_127025,"GERENTE GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",127025,True,True,False,
occupation_type_employee_127026,"GERENTE GENERAL, EMPRESA/LIMPIEZA",127026,True,True,False,
occupation_type_employee_127027,"GERENTE GENERAL, EMPRESA/SERVICIO DE EMPRESA",127027,True,True,False,
occupation_type_employee_127028,"GERENTE GENERAL, EMPRESA/SERVICIO DE SANIDAD",127028,True,True,False,
occupation_type_employee_127029,"GERENTE GENERAL, EMPRESA/TRABAJO SOCIAL",127029,True,True,False,
occupation_type_employee_127030,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",127030,True,True,False,
occupation_type_employee_127031,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",127031,True,True,False,
occupation_type_employee_127032,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",127032,True,True,False,
occupation_type_employee_127033,"GERENTE GENERAL, ORGANIZACION/AGENCIA DE VIAJES",127033,True,True,False,
occupation_type_employee_127034,"GERENTE GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",127034,True,True,False,
occupation_type_employee_127035,"GERENTE GENERAL, ORGANIZACION/LIMPIEZA",127035,True,True,False,
occupation_type_employee_127036,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE EMPRESA",127036,True,True,False,
occupation_type_employee_127037,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",127037,True,True,False,
occupation_type_employee_127038,"GERENTE GENERAL, ORGANIZACION/TRABAJO SOCIAL",127038,True,True,False,
occupation_type_employee_127040,"PRESIDENTE DEL DIRECTORIO, SERVICIOS PUBLICOS Y FINANCIEROS",127040,True,True,False,
occupation_type_employee_129004,GERENTE DE PLANTA,129004,True,True,False,
occupation_type_employee_129005,GERENTE DE PRODUCCION,129005,True,True,False,
occupation_type_employee_129006,GERENTE INDUSTRIAL,129006,True,True,False,
occupation_type_employee_136001,DECANO,136001,True,True,False,
occupation_type_employee_136002,DECANO DE FACULTAD,136002,True,True,False,
occupation_type_employee_136003,DIRECTOR DE CENTRO EDUCATIVO,136003,True,True,False,
